Country,Rank,Score,Change
Tajikistan,147,49.7,5.5
Nepal,148,49.7,1.0
Ethiopia,149,49.6,2.1
Laos,150,49.2,4.7
Egypt,151,49.1,6.6
Pakistan,152,48.8,2.9
Zambia,153,48.7,1.7
Republic of the Congo,154,48.5,2.2
Suriname,155,48.1,1.7
Lesotho,156,48.1,5.4
China,157,48.0,10.4
Liberia,158,47.9,1.3
Congo-Kinshasa,159,47.6,1.4
Maldives,160,47.3,7.9
Lebanon,161,47.3,4.1
Equatorial Guinea,162,47.2,2.0
Timor-Leste,163,46.3,1.6
Turkmenistan,164,46.2,1.2
Guinea-Bissau,165,46.0,8.9
Algeria,166,45.8,3.9
Myanmar,167,45.7,5.6
Central African Republic,168,45.7,3.1
Bolivia,169,43.0,0.3
Iran,170,42.4,4.8
Eritrea,171,39.7,2.6
Burundi,172,39.4,10.5
Zimbabwe,173,33.1,6.4
Sudan,174,32.0,7.1
Cuba,175,29.5,1.4
Venezuela,176,24.8,0.1
North Korea,177,4.2,1.7
